pubmlst_id,resolution,reads,predicted_MLST.CC,predicted_MLST.ST,predicted_mecA,predicted_pvl,shared_hashes,MLST.CC,CC_filled,predicted_mlst_is_single,predicted_cc_is_correct,predicted_st_is_correct,predicted_mlst_is_correct
36588,10k,2000,CC121,121,MSSA,PVL+,802,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,10k,3000,CC121,121,MSSA,PVL+,566,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,10k,4000,CC121,121,MSSA,PVL+,448,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,10k,5000,CC121,121,MSSA,PVL+,381,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,10k,6000,CC121,121,MSSA,PVL+,344,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,10k,7000,CC121,1413,MSSA,PVL+,303,"",CC121,TRUE,TRUE,FALSE,TRUE
36588,10k,8000,CC121,121,MSSA,PVL+,275,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,1k,1000,CC121,121,MSSA,PVL+,131,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,1k,2000,CC121,121,MSSA,PVL+,85,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,1k,3000,CC121,121,MSSA,PVL*,65,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,1k,4000,CC121,123,MSSA,PVL*,57,"",CC121,TRUE,TRUE,FALSE,TRUE
36589,1k,5000,CC121,123,MSSA,PVL*,48,"",CC121,TRUE,TRUE,FALSE,TRUE
36589,1k,6000,CC121,"121,123",MSSA,"PVL+,PVL*",44,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,1k,7000,CC121,"121,123",MSSA,"PVL+,PVL*",38,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,1k,8000,CC121,121,MSSA,PVL+,37,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,10k,1000,CC121,121,MSSA,PVL+,1171,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,10k,2000,CC121,121,MSSA,PVL+,802,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,10k,3000,CC121,121,MSSA,PVL+,566,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,10k,4000,CC121,121,MSSA,PVL+,448,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,10k,5000,CC121,121,MSSA,PVL+,381,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,10k,6000,CC121,121,MSSA,PVL+,344,"",CC121,TRUE,TRUE,TRUE,TRUE
36589,10k,7000,CC121,1413,MSSA,PVL+,303,"",CC121,TRUE,TRUE,FALSE,TRUE
36589,10k,8000,CC121,121,MSSA,PVL+,275,"",CC121,TRUE,TRUE,TRUE,TRUE
36592,1k,1000,CC30,30,MSSA,PVL-,123,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,1k,2000,CC30,30,MSSA,PVL-,77,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,1k,3000,"CC30,CC121","30,36,121","MSSA,MRSA","PVL-,PVL*,PVL+",56,"",CC30,FALSE,TRUE,TRUE,TRUE
36592,1k,4000,CC30,"30,36","MSSA,MRSA",PVL-,50,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,1k,5000,CC30,30,MSSA,PVL-,44,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,1k,6000,CC398,398,MRSA,PVL-,42,"",CC30,TRUE,FALSE,FALSE,FALSE
36592,1k,7000,CC398,398,MRSA,PVL-,37,"",CC30,TRUE,FALSE,FALSE,FALSE
36592,1k,8000,CC398,398,MRSA,PVL-,36,"",CC30,TRUE,FALSE,FALSE,FALSE
36592,10k,1000,CC30,3423,MRSA,PVL-,1127,"",CC30,TRUE,TRUE,FALSE,TRUE
36592,10k,2000,CC30,34,MSSA,PVL-,720,"",CC30,TRUE,TRUE,FALSE,TRUE
36592,10k,3000,CC30,243,MSSA,PVL+,529,"",CC30,TRUE,TRUE,FALSE,TRUE
36592,10k,4000,CC30,30,MRSA,PVL+,424,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,10k,5000,CC30,30,MSSA,PVL-,362,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,10k,6000,CC30,30,MSSA,PVL-,323,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,10k,7000,CC30,30,MSSA,PVL-,279,"",CC30,TRUE,TRUE,TRUE,TRUE
36592,10k,8000,CC30,30,MSSA,PVL-,255,"",CC30,TRUE,TRUE,TRUE,TRUE
36593,1k,1000,CC121,121,MSSA,PVL+,131,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,1k,2000,CC121,121,MSSA,PVL+,85,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,1k,3000,CC121,121,MSSA,PVL*,65,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,1k,4000,CC121,123,MSSA,PVL*,57,"",CC121,TRUE,TRUE,FALSE,TRUE
36593,1k,5000,CC121,123,MSSA,PVL*,48,"",CC121,TRUE,TRUE,FALSE,TRUE
36593,1k,6000,CC121,"121,123",MSSA,"PVL+,PVL*",44,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,1k,7000,CC121,"121,123",MSSA,"PVL+,PVL*",38,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,1k,8000,CC121,121,MSSA,PVL+,37,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,10k,1000,CC121,121,MSSA,PVL+,1171,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,10k,2000,CC121,121,MSSA,PVL+,802,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,10k,3000,CC121,121,MSSA,PVL+,566,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,10k,4000,CC121,121,MSSA,PVL+,448,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,10k,5000,CC121,121,MSSA,PVL+,381,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,10k,6000,CC121,121,MSSA,PVL+,344,"",CC121,TRUE,TRUE,TRUE,TRUE
36593,10k,7000,CC121,1413,MSSA,PVL+,303,"",CC121,TRUE,TRUE,FALSE,TRUE
36593,10k,8000,CC121,121,MSSA,PVL+,275,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,1k,1000,CC121,121,MSSA,PVL+,131,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,1k,2000,CC121,121,MSSA,PVL+,85,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,1k,3000,CC121,121,MSSA,PVL*,65,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,1k,4000,CC121,123,MSSA,PVL*,57,"",CC121,TRUE,TRUE,FALSE,TRUE
36594,1k,5000,CC121,123,MSSA,PVL*,48,"",CC121,TRUE,TRUE,FALSE,TRUE
36594,1k,6000,CC121,"121,123",MSSA,"PVL+,PVL*",44,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,1k,7000,CC121,"121,123",MSSA,"PVL+,PVL*",38,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,1k,8000,CC121,121,MSSA,PVL+,37,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,10k,1000,CC121,121,MSSA,PVL+,1171,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,10k,2000,CC121,121,MSSA,PVL+,802,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,10k,3000,CC121,121,MSSA,PVL+,566,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,10k,4000,CC121,121,MSSA,PVL+,448,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,10k,5000,CC121,121,MSSA,PVL+,381,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,10k,6000,CC121,121,MSSA,PVL+,344,"",CC121,TRUE,TRUE,TRUE,TRUE
36594,10k,7000,CC121,1413,MSSA,PVL+,303,"",CC121,TRUE,TRUE,FALSE,TRUE
36594,10k,8000,CC121,121,MSSA,PVL+,275,"",CC121,TRUE,TRUE,TRUE,TRUE
37267,1k,1000,CC398,398,MSSA,PVL-,159,"",CC398/CC5561,TRUE,TRUE,TRUE,TRUE
37267,1k,2000,CC398,398,MRSA,PVL-,109,"",CC398/CC5561,TRUE,TRUE,TRUE,TRUE
37267,1k,3000,CC398,398,MRSA,PVL-,79,"",CC398/CC5561,TRUE,TRUE,TRUE,TRUE
