Isolate.name,predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
38812_8220_MF_84,CC8,0.868949232585596,TRUE,TRUE
38813_8220_MF_85,CC398/CC5561,0.840128183504806,TRUE,TRUE
38814_8220_MF_86,CC5,0.945994265474785,TRUE,TRUE
38815_8220_MF_87,CC8,0.87603305785124,TRUE,TRUE
38816_8220_MF_89,CC398/CC5561,0.869063923089897,TRUE,TRUE
38817_8220_MF_90,CC8,0.864327879912296,TRUE,TRUE
38818_8220_MF_92,CC8,0.89291280148423,TRUE,TRUE
38819_8220_MF_96,CC72,0.847454882779558,TRUE,TRUE
38821_8328_MF_51,CC398/CC5561,0.864111991904199,TRUE,TRUE
38822_8328_MF_52,CC8,0.847090571765896,TRUE,TRUE
38823_8328_MF_53,CC8,0.864111991904199,TRUE,TRUE
38824_8328_MF_54,CC15,0.885788497217069,TRUE,TRUE
38825_8328_MF_56,CC15,0.772136953955135,TRUE,TRUE
38826_8328_MF_57,CC361/CC15,0.664219935908248,TRUE,TRUE
38827_8328_MF_58,CC45,0.847346938775511,TRUE,TRUE
38828_8328_MF_59,CC8,0.868821049080789,TRUE,TRUE
38829_8328_MF_60,CC45,0.854781582054309,TRUE,TRUE
38830_8328_MF_62,CC361/CC15,0.681261595547309,TRUE,TRUE
38831_8328_MF_63,CC72,0.871539888682745,TRUE,TRUE
38832_8328_MF_64,CC8,0.863686962388261,TRUE,TRUE
38833_8328_MF_65,CC30,0.8739146567718,TRUE,TRUE
38834_8328_MF_66,CC15,0.853884297520661,TRUE,TRUE
38835_8328_MF_67,CC15,0.841639399561477,TRUE,TRUE
38836_8328_MF_68,CC398/CC5561,0.852244897959184,TRUE,TRUE
38837_8328_MF_70,CC30,0.854349806038118,TRUE,TRUE
38838_8328_MF_71,CC398/CC5561,0.878536009445101,TRUE,TRUE
38839_8328_MF_72,CC59,0.878778883454208,TRUE,TRUE
38840_8328_MF_73,CC7,0.891050767414404,TRUE,TRUE
38841_8328_MF_74,CC15,0.856198347107438,TRUE,TRUE
38842_8328_MF_76,CC5,0.953624557260922,TRUE,TRUE
38843_8328_MF_77,CC1,0.878778883454208,TRUE,TRUE
38844_8328_MF_79,CC45,0.842678360600439,TRUE,TRUE
38845_8328_MF_80,CC30,0.854349806038118,TRUE,TRUE
38847_8328_MF_83,CC30,0.866587957497048,TRUE,TRUE
38848_8328_MF_85,CC15,0.878394332939787,TRUE,TRUE
38849_8328_MF_86,CC97,0.888547815820543,TRUE,TRUE
38850_8328_MF_87,CC97,0.927920391297015,TRUE,TRUE
38851_8328_MF_89,CC30,0.866695901501097,TRUE,TRUE
38852_8328_MF_90,CC398/CC5561,0.861352673300725,TRUE,TRUE
38853_8328_MF_91,CC398/CC5561,0.864226682408501,TRUE,TRUE
38854_8328_MF_93,CC45,0.861959858323495,TRUE,TRUE
38855_8328_MF_95,CC398/CC5561,0.871715297689323,TRUE,TRUE
39190_JH1,CC5,0.943504806881429,TRUE,TRUE
39191_N315,CC5,0.938465171192444,TRUE,TRUE
39192_TW20,CC8,0.871310507674144,TRUE,TRUE
39193_04_02981,CC5,0.930814639905549,TRUE,TRUE
39194_RF122,CC59,0.682475965592849,FALSE,TRUE
39195_11819_97,CC80,0.925808736717827,TRUE,TRUE
39196_71193,CC398/CC5561,0.861865407319953,TRUE,TRUE
39197_COL,CC8,0.893553719008265,TRUE,TRUE
39198_ECT_R_2,CC5,0.940947883285545,TRUE,TRUE
39200_ED98,CC130,0.713132062742452,FALSE,TRUE
39201_HO_5096_0412,CC5,0.938303255186372,TRUE,TRUE
39202_JH9,CC22,0.861757463315905,TRUE,TRUE
39203_JKD6159,CC425,0.856819025130714,TRUE,TRUE
39204_LGA251,CC93,0.823194467869793,TRUE,TRUE
39205_M013,CC30,0.861757463315905,TRUE,TRUE
39206_MRSA_252,CC59,0.861959858323495,TRUE,TRUE
39207_MSSA476,CC1,0.915635014336313,TRUE,TRUE
39208_MW2,CC1,0.913469387755102,TRUE,TRUE
39209_Mu3,CC5,0.92072187552707,TRUE,TRUE
39210_Mu50,CC5,0.963798279642436,TRUE,TRUE
39211_NCTC_8325,CC8,0.868821049080789,TRUE,TRUE
39212_ST398,CC8,0.88615280823073,TRUE,TRUE
39213_T0131,CC398/CC5561,0.878536009445101,TRUE,TRUE
39214_TCH60,CC8,0.88615280823073,TRUE,TRUE
39215_USA300_FPR3757,CC30,0.861352673300725,TRUE,TRUE
39216_USA300_TCH1516,CC8,0.876397368864902,TRUE,TRUE
39217_VC40,CC8,0.861636026311351,TRUE,TRUE
39218_JKD6008,CC8,0.878536009445101,TRUE,TRUE
39219_Newman,CC8,0.847346938775511,TRUE,TRUE
39220_VCU006,CC398/CC5561,0.878664192949907,TRUE,TRUE
39349_Mu50_omega,CC5,0.928352167313206,TRUE,TRUE
39649_M1,CC8,0.852136953955135,TRUE,TRUE
39651_SA40,CC59,0.847454882779558,TRUE,TRUE
39652_SA957,CC59,0.85901838421319,TRUE,TRUE
39653_6850,CC59,0.753516613256873,TRUE,TRUE
39654_ST228_10388,CC5,0.958630460448643,TRUE,TRUE
39655_ST228_10497,CC5,0.945994265474785,TRUE,TRUE
39656_ST228_15532,CC5,0.935631641086187,TRUE,TRUE
39657_ST228_16035,CC5,0.943430595378647,TRUE,TRUE
39658_ST228_16125,CC5,0.966314724236802,TRUE,TRUE
39659_ST228_18341,CC5,0.968905380333951,TRUE,TRUE
39660_ST228_18412,CC5,0.930720188902006,TRUE,TRUE
39661_ST228_18583,CC5,0.940947883285545,TRUE,TRUE
39662_Z172,CC8,0.861636026311351,TRUE,TRUE
39663_Bmb9393,CC8,0.883272052622703,TRUE,TRUE
39664_CA_347,CC45,0.835102040816327,TRUE,TRUE
39665_CN1_HL1,CC72,0.842853769607016,TRUE,TRUE
42467_M48,CC8,0.85469387755102,TRUE,TRUE
42468_M51,CC8,0.842165626581211,TRUE,TRUE
43022_364,CC772/CC834,0.695483218080621,FALSE,TRUE
44909_NCTC10441,CC8,0.856684095125654,TRUE,TRUE
44912_Mu50,CC5,0.92072187552707,TRUE,TRUE
44913_MRSA252,CC30,0.861757463315905,TRUE,TRUE
44914_JH1,CC5,0.943504806881429,TRUE,TRUE
44927_inHO50960413,CC22,0.861757463315905,TRUE,TRUE
44940_S0385,CC398/CC5561,0.878536009445101,TRUE,TRUE
44947_LGA251,CC425,0.856819025130714,TRUE,TRUE
44948_BA01611,CC361/CC15,0.861636026311351,TRUE,TRUE
44949_55_99_44,CC152,0.861757463315905,TRUE,TRUE
45134_GCA_003031465_1,CC5,0.933277112497891,TRUE,TRUE
45143_GCA_003194405_1,CC5,0.943504806881429,TRUE,TRUE
45147_GCA_007813675_1,CC1,0.905920053972002,TRUE,TRUE
