barcode_id,snps_type,snps_used,max_reads_used,call_type,fin_score,proportion_matched,proportion_scheme_found,estimated_coverage,predicted_MLST.CC,reads_w_result,Isolate.name,ST/CC,MRSA,PVL,Linked,Linked Isolate,CC,predicted_mlst_is_single,predicted_mlst_is_correct
1,random_400,300,3000,fast,0.794844444444445,0.876666666666667,0.906666666666667,5.23615357142857,CC8,263,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,300,4000,fast,0.843,0.9,0.936666666666667,6.66611607142857,CC8,270,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,300,5000,fast,0.883322222222222,0.923333333333333,0.956666666666667,8.00557607142857,CC8,277,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,300,6000,fast,0.883322222222222,0.923333333333333,0.956666666666667,9.12389428571429,CC8,277,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,300,7000,fast,0.892688888888889,0.926666666666667,0.963333333333333,11.0822728571429,CC8,278,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,300,8000,fast,0.908444444444444,0.933333333333333,0.973333333333333,13.0191557142857,CC8,280,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,1000,fast,0.3319375,0.565,0.5875,1.64345678571429,CC8,226,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,2000,fast,0.69085,0.82,0.8425,3.44701821428571,CC8,328,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,3000,fast,0.79633125,0.8775,0.9075,5.23615357142857,CC8,351,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,4000,fast,0.85078125,0.9075,0.9375,6.66611607142857,CC8,363,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,5000,fast,0.890475,0.93,0.9575,8.00557607142857,CC8,372,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,6000,fast,0.890475,0.93,0.9575,9.12389428571429,CC8,372,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,7000,fast,0.89753125,0.9325,0.9625,11.0822728571429,CC8,373,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,400,8000,fast,0.91415,0.94,0.9725,13.0191557142857,CC8,376,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,7,1000,fast,0.326530612244897,0.571428571428571,0.571428571428571,1.64345678571429,"CC5,CC8,CC1,CC45,CC59,CC6,CC130,CC80,CC361,CC779,CC72,CC15,CC78,CC97,CC398/CC5561,CC152,CC121,CC12,CC772/CC834,CC789,CC425,CC7,CC1943,CC395,CC10,CC942,CC361/CC15,CC96,CC25,CC101,CC93,CC20","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,7,2000,fast,0.510204081632653,0.714285714285714,0.714285714285714,3.44701821428571,"CC5,CC8,CC1,CC45,CC59,CC6,CC130,CC80,CC361,CC779,CC72,CC15,CC78,CC97,CC398/CC5561,CC152,CC121,CC12,CC772/CC834,CC789,CC425,CC7,CC1943,CC395,CC942,CC361/CC15,CC96,CC25,CC101,CC93,CC20","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
