barcode,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method
74,6000,ND,88.15,10,10*,8,555*,10,3,492*,sup
74,7000,ND,88.15,10,10*,8,555*,10,3,492*,sup
74,8000,ND,89.21,10,10*,8,555*,10,3,2,sup
74,9000,ND,89.21,10,10*,8,555*,10,3,2,sup
74,10000,ND,89.25,10,745*,8,555*,10,3,2,sup
81,1000,ND,0.52,"",132*,221*,"",32*,23*,"",sup
81,2000,ND,19.25,"",103*,388*,4*,840*,141*,497*,sup
81,3000,ND,60.48,603*,909*,388*,4*,840*,227*,10*,sup
81,4000,ND,70.13,1,909*,388*,4*,840*,208*,10,sup
81,5000,ND,77.96,1,909*,388*,4*,25*,208*,10,sup
81,6000,ND,83.85,1,909*,388*,4*,25*,1,10,sup
81,7000,ND,98.74,1,909*,388,4*,12*,1,10,sup
81,8000,ND,98.74,1,909*,388,4*,12*,1,10,sup
81,9000,ND,98.74,1,909*,388,4*,12*,1,10,sup
81,10000,ND,98.74,1,909*,388,4*,12*,1,10,sup
82,1000,ND,45.08,"",64*,"",125*,43*,55,"",sup
82,2000,ND,46.15,"",64*,"",125*,43*,55,"",sup
82,3000,ND,59.50,6*,64*,"",125*,43*,55,"",sup
82,4000,ND,59.68,6*,64*,39*,125*,43*,55,"",sup
82,5000,ND,63.68,6*,64*,39*,125*,43*,55,51*,sup
82,6000,ND,63.68,6*,64*,39*,125*,43*,55,51*,sup
82,7000,ND,74.57,6*,64*,39*,125*,43*,55,51,sup
82,8000,ND,74.95,6*,64*,39*,125*,43,55,51,sup
82,9000,ND,75.24,6*,64*,39*,125*,43,55,51,sup
82,10000,ND,75.24,6*,64*,39*,125*,43,55,51,sup
89,1000,ND,15.57,373*,202*,"","","",99*,10*,sup
89,2000,ND,15.96,373*,202*,"","",25*,91*,10*,sup
89,3000,ND,29.00,33*,202*,"","",25*,91*,10*,sup
89,4000,ND,30.65,631*,49*,"","",25*,91*,978*,sup
89,5000,ND,42.77,1*,49*,"","",25*,1,978*,sup
89,6000,ND,55.55,1*,49*,"",618*,25*,1,978*,sup
89,7000,ND,55.91,1,49*,"",618*,25*,1,10,sup
